UserId,UserName
12373,sigmundringeck
50487,9-Aug-65
55924,Richman8888
56054,avg_sporean
54579,Cantstandit
66234,Pinetree
69768,cheeksnliver
69630,siownang
79009,dloh1970
102968,georgesmith
106110,janistanxo
90037,karmakarma
35497,juliusm518
106989,Soreeyes
77472,forumuser
65241,SoEmbarrassed
40372,TheinformReader
54130,oscar303
65855,Pinetree1
97697,bagofdirtyballs
64330,MyMother
29621,singaforean
29708,kikokuriya
21955,AirSoles
29688,blessing64
29697,josephine11
21015,oldgoat55
29886,zell_gan
30616,kukujiao
29710,joetanks
29713,fifthstarfromthecrescent
29695,thomasng48
27787,gabrielyeog
4684,OMKRISH
29794,kelvintan_ml
25517,xinxin0186
10544,whosaiddat
7628,cityahbeng
29802,olelumpyme
11833,smartlow
23884,richard_head
28222,nelsonteosg
29854,hawkeyes89
62914,Mikiaseelah
13537,ColdBlade
29879,rogerong88
21509,avonhythe
11932,twinkle08
29926,littlepine
29538,arubagopal
29116,ChioGaPeng
4533,Call Me KayPoh
20231,see_life
30007,KBLim2011
21942,teamybee
24118,benloveu
20950,benlee18
29963,alice888
7916,ItsMyView
11230,SimonSez
5867,killersotong
30001,tinlien123
19563,instillinchina
21571,xibedulan
4516,atlantia
30442,macdream
30166,tri33333
30662,liesnliars
10786,ohmygodlah
15658,whosaidat
31146,cimmerian
31272,imhogtg85
20524,GuyFromOz
19737,trance00
30258,clintton
30257,ihateliars
10108,thegreyguy
30255,traceylee
31781,ihatemsg
6642,titansim2007
29437,jyckee88
30819,kkchua65
30567,jongboo2
9375,seetkh
30386,reenergise
30264,csmsc1969
5127,singman
30205,inkjetprinter1975
11952,WalkingTall
30529,annieleong
16216,ROGERNHK
30279,ytheng66
30367,profish3
10262,alvinlwh
29940,exsporean8688
28509,destansl
19471,dadin156
30491,fivemouse
20747,talk2020
30661,LEEWISER
30406,sgcjya01
30607,sweetoranges
29187,woldrawde
4574,asiaonelky
22339,stevepower
19400,Comment
13492,SGGForumer
30688,oolongcha
30794,lucky188
22539,chinaexpat
31702,Quixotic
57644,foxtrotbravo21
30510,Uncle_phil
9559,jiaoxiaolinglong
9672,zhanzhao
31102,acelin.acel
30298,ahbuibeng
31049,iheartpinkie
